estado_origem,condicao,estado_destino,peso,tempo_min_dias,tempo_max_dias
diag_estadiamento,doenca_localizada_candidata_neoadj,neoadj_candidata_tnbc,"0,12",30,90
diag_estadiamento,doenca_localizada_candidata_neoadj,neoadj_candidata_her2,"0,12",30,90
diag_estadiamento,doenca_localizada_candidata_neoadj,neoadj_candidata_rhpos,"0,12",30,90
diag_estadiamento,doenca_localizada_cirurgia_upfront,adj_upfront_tnbc,"0,19",30,90
diag_estadiamento,doenca_localizada_cirurgia_upfront,adj_upfront_her2,"0,19",30,90
diag_estadiamento,doenca_localizada_cirurgia_upfront,adj_upfront_rhpos,"0,19",30,90
diag_estadiamento,doenca_metastatica_de_novo,meta_1l_rhpos,"0,03",14,60
diag_estadiamento,doenca_metastatica_de_novo,meta_1l_her2,"0,02",14,60
diag_estadiamento,doenca_metastatica_de_novo,meta_1l_tnbc,"0,01",14,60
diag_estadiamento,obito_outras_causas,obito,"0,01",0,0
neoadj_candidata_tnbc,pcr,pos_neoadj_tnbc_pcr,"0,64",120,190
neoadj_candidata_tnbc,doenca_residual,pos_neoadj_tnbc_residual,"0,35",120,190
neoadj_candidata_tnbc,obito_outras_causas,obito,"0,01",0,0
neoadj_candidata_her2,pcr,pos_neoadj_her2_pcr,"0,64",105,180
neoadj_candidata_her2,doenca_residual,pos_neoadj_her2_residual,"0,35",105,180
neoadj_candidata_her2,obito_outras_causas,obito,"0,01",0,0
neoadj_candidata_rhpos,pcr,pos_neoadj_rhpos_pcr,"0,1",120,180
neoadj_candidata_rhpos,doenca_residual,pos_neoadj_rhpos_residual,"0,89",120,180
neoadj_candidata_rhpos,obito_outras_causas,obito,"0,01",0,0
pos_neoadj_tnbc_pcr,fim_adjuvancia,seguimento_curto_prazo,"0,94",150,210
pos_neoadj_tnbc_pcr,recidiva_locorregional,recidiva_locorregional,"0,03",180,1095
pos_neoadj_tnbc_pcr,recidiva_precoce_meta,meta_1l_tnbc,"0,02",180,1095
pos_neoadj_tnbc_pcr,obito_outras_causas,obito,"0,01",0,0
pos_neoadj_tnbc_residual,brca_mutado,adj_residual_tnbc_brca,"0,1",30,60
pos_neoadj_tnbc_residual,brca_selvagem,adj_residual_tnbc_wt,"0,89",30,60
pos_neoadj_tnbc_residual,obito_outras_causas,obito,"0,01",0,0
adj_residual_tnbc_brca,fim_adjuvancia_olaparibe,seguimento_curto_prazo,"0,9",330,400
adj_residual_tnbc_brca,recidiva_locorregional,recidiva_locorregional,"0,04",180,1095
adj_residual_tnbc_brca,recidiva_meta,meta_1l_tnbc,"0,05",180,1095
adj_residual_tnbc_brca,obito_outras_causas,obito,"0,01",0,0
adj_residual_tnbc_wt,fim_adjuvancia_capecitabina,seguimento_curto_prazo,"0,89",150,200
adj_residual_tnbc_wt,recidiva_locorregional,recidiva_locorregional,"0,05",180,1095
adj_residual_tnbc_wt,recidiva_meta,meta_1l_tnbc,"0,05",180,1095
adj_residual_tnbc_wt,obito_outras_causas,obito,"0,01",0,0
pos_neoadj_her2_pcr,fim_adjuvancia_her2,seguimento_curto_prazo,"0,94",210,270
pos_neoadj_her2_pcr,recidiva_locorregional,recidiva_locorregional,"0,02",180,1095
pos_neoadj_her2_pcr,recidiva_apesar_tdm1,meta_1l_her2,"0,03",180,1095
pos_neoadj_her2_pcr,obito_outras_causas,obito,"0,01",0,0
pos_neoadj_her2_residual,fim_adjuvancia_tdm1,seguimento_curto_prazo,"0,89",270,320
pos_neoadj_her2_residual,recidiva_locorregional,recidiva_locorregional,"0,04",180,1095
pos_neoadj_her2_residual,recidiva_apesar_tdm1,meta_1l_her2,"0,06",180,1095
pos_neoadj_her2_residual,obito_outras_causas,obito,"0,01",0,0
pos_neoadj_rhpos_pcr,fim_adjuvancia,seguimento_curto_prazo,"0,94",90,180
pos_neoadj_rhpos_pcr,recidiva,recidiva_locorregional,"0,03",180,1095
pos_neoadj_rhpos_pcr,perda_seguimento,perda_seguimento,"0,02",0,0
pos_neoadj_rhpos_pcr,obito_outras_causas,obito,"0,01",0,0
pos_neoadj_rhpos_residual,fim_adjuvancia,seguimento_curto_prazo,"0,87",90,180
pos_neoadj_rhpos_residual,recidiva,recidiva_locorregional,"0,1",180,1095
pos_neoadj_rhpos_residual,perda_seguimento,perda_seguimento,"0,02",0,0
pos_neoadj_rhpos_residual,obito_outras_causas,obito,"0,01",0,0
adj_upfront_tnbc,fim_adjuvancia,seguimento_curto_prazo,"0,89",120,180
adj_upfront_tnbc,recidiva,recidiva_locorregional,"0,1",180,1095
adj_upfront_tnbc,obito_outras_causas,obito,"0,01",0,0
adj_upfront_her2,fim_adjuvancia,seguimento_curto_prazo,"0,89",150,200
adj_upfront_her2,recidiva,recidiva_locorregional,"0,1",180,1095
adj_upfront_her2,obito_outras_causas,obito,"0,01",0,0
adj_upfront_rhpos,fim_adjuvancia,seguimento_curto_prazo,"0,82",120,180
adj_upfront_rhpos,recidiva_durante_ht,recidiva_locorregional,"0,15",180,1095
adj_upfront_rhpos,perda_seguimento,perda_seguimento,"0,02",0,0
adj_upfront_rhpos,obito_outras_causas,obito,"0,01",0,0
seguimento_curto_prazo,permanece_remissao,seguimento_curto_prazo,"0,17",180,365
seguimento_curto_prazo,tempo_decorrido_5anos,seguimento_longo_prazo,"0,7",1800,1850
seguimento_curto_prazo,recidiva_metastase_rhpos,meta_1l_rhpos,"0,02",365,1825
seguimento_curto_prazo,recidiva_metastase_her2,meta_1l_her2,"0,02",365,1825
seguimento_curto_prazo,recidiva_metastase_tnbc,meta_1l_tnbc,"0,02",365,1825
seguimento_curto_prazo,recidiva_locorregional,recidiva_locorregional,"0,04",365,1825
seguimento_curto_prazo,segundo_tumor_primario,diag_estadiamento,"0,005",365,1825
seguimento_curto_prazo,perda_seguimento,perda_seguimento,"0,02",0,0
seguimento_curto_prazo,obito_outras_causas,obito,"0,005",0,0
seguimento_longo_prazo,permanece_remissao,seguimento_longo_prazo,"0,95",300,400
seguimento_longo_prazo,recidiva_metastase_rhpos,meta_1l_rhpos,"0,01",1825,5475
seguimento_longo_prazo,recidiva_metastase_her2,meta_1l_her2,"0,005",1825,5475
seguimento_longo_prazo,recidiva_metastase_tnbc,meta_1l_tnbc,"0,005",1825,5475
seguimento_longo_prazo,recidiva_locorregional,recidiva_locorregional,"0,005",1825,5475
seguimento_longo_prazo,segundo_tumor_primario,diag_estadiamento,"0,005",1825,5475
seguimento_longo_prazo,perda_seguimento,perda_seguimento,"0,01",0,0
seguimento_longo_prazo,obito_outras_causas,obito,"0,01",0,0
recidiva_locorregional,resgate_cirurgico_curativo,diag_estadiamento,"0,7",30,90
recidiva_locorregional,progressao_para_metastase,meta_1l_rhpos,"0,1",365,1095
recidiva_locorregional,progressao_para_metastase,meta_1l_her2,"0,1",365,1095
recidiva_locorregional,progressao_para_metastase,meta_1l_tnbc,"0,09",365,1095
recidiva_locorregional,obito_outras_causas,obito,"0,01",0,0
meta_1l_rhpos,progressao_ou_toxicidade_limitante,meta_progressao_rhpos,"0,99",600,900
meta_1l_rhpos,obito_outras_causas,obito,"0,01",0,0
meta_1l_her2,progressao_ou_toxicidade_limitante,meta_progressao_her2,"0,99",450,600
meta_1l_her2,obito_outras_causas,obito,"0,01",0,0
meta_1l_tnbc,progressao_ou_toxicidade_limitante,meta_progressao_tnbc,"0,99",270,360
meta_1l_tnbc,obito_outras_causas,obito,"0,01",0,0
meta_progressao_rhpos,progressao,meta_linhas_tardias,"0,69",180,870
meta_progressao_rhpos,resposta_duradoura,meta_progressao_rhpos,"0,3",180,540
meta_progressao_rhpos,obito_outras_causas,obito,"0,01",0,0
meta_progressao_her2,progressao,meta_linhas_tardias,"0,69",180,870
meta_progressao_her2,resposta_duradoura,meta_progressao_her2,"0,3",180,540
meta_progressao_her2,obito_outras_causas,obito,"0,01",0,0
meta_progressao_tnbc,progressao,meta_linhas_tardias,"0,69",180,870
meta_progressao_tnbc,resposta_duradoura,meta_progressao_tnbc,"0,3",180,540
meta_progressao_tnbc,obito_outras_causas,obito,"0,01",0,0
meta_linhas_tardias,progressao_terminal_ou_obito,obito,"0,5",0,0
meta_linhas_tardias,estabilizacao,meta_linhas_tardias,"0,5",120,240
